#,name,voteType,id,code,url
49,Due diligence in supply chains (environmental and human rights),,,,
50,ECB Monetary policy,,,,
51,Ecodesign & durability,,,,
52,Economic security,,,,
53,Electronic identity,,,,
54,Energy (green transition),,,,
55,Energy efficiency,,,,
56,Energy performance of buildings,,,,
57,Energy transition (state support),,,,
58,Engagement of Romani communities in Europe,,,,
59,Environmental crimes and justice,,,,
60,Environmental regulation of fisheries,,,,
61,EP seat in Strasbourg,,,,
62,EU and national cultural identities,,,,
63,EU approach to electricity market and prices,,,,
64,EU approach to energy security (home-made vs import sources),,,,
65,EU approach to sustainability criteria in private investments,,,,
66,EU competences on demographic policy,,,,
67,EU competences on foreign affairs,,,,
68,EU competences on health,,,,
69,EU competences on human rights,,,,
70,EU competences on social policies,,,,
71,EU competences on space policy,,,,
72,EU competences on taxation,,,,
73,EU Competition policy,,,,
74,EU Development & Humanitarian Aid,,,,
75,EU development policy (gender conditionality),,,,
76,EU diplomatic representation,,,,
77,EU energy infrastructure integration,,,,
78,EU engagement with Christians abroad,,,,
79,EU engagement with citizens,,,,
80,EU engagement with civil society,,,,
81,EU engagement with youth,,,,
82,EU enlargement,,,,
83,EU expenditure on social policy,,,,
84,EU fiscal rules and oversight of national budgets,,,,
85,EU foreign policy approach,,,,
86,EU framework for voluntary quality and sustainability terms in food marketing,,,,
87,EU funding for transportation,,,,
88,EU housing policy,,,,
89,EU humanitarian missions,,,,
90,EU industrial funding,,,,
91,EU law enforcement cooperation in criminal matters,,,,
92,"EU measures on lifestyle-related behaviours (smoking, drinking, eating, etc.)",,,,
93,EU ocean policy,,,,
94,EU policy on accessibility of digital infrastructure,,,,
95,EU policy on African region,,,,
96,EU policy on aging workforce and pensions,,,,
97,EU policy on aviation safety,,,,
98,EU policy on banks profits,,,,
99,EU policy on brain drain,,,,
100,EU policy on Central Asia,,,,
101,EU policy on country of origin food labelling,,,,
102,EU policy on criminal justice,,,,
103,EU policy on custom fee on non-EU imports,,,,
104,EU policy on disability inclusion & accessibility,,,,
105,EU policy on ethical standards in biotechnology applications,,,,
106,EU policy on farmer–buyer relations in the agri-food supply chain,,,,
107,EU policy on forced redundancies,,,,
108,EU policy on gas storage targets,,,,
109,"EU policy on integration and ethnic, racial and religious discrimination",,,,
110,EU policy on Islam,,,,
111,EU policy on lab-grown meat,,,,
112,EU policy on labour exploitation in global supply chains,,,,
113,EU policy on labour migration,,,,
114,EU policy on mental health,,,,
115,EU policy on novel foods,,,,
116,EU policy on permitting for renewable energy projects,,,,
117,EU policy on pesticides,,,,
118,EU policy on Sahel and Sudan,,,,
119,EU policy on social & environmental impact of foreign investments,,,,
120,EU policy on social criteria in public funding,,,,
121,EU policy on sustainability criteria in public funding,,,,
122,EU policy on the Indo-Pacific region,,,,
123,EU policy on urban development,,,,
124,EU policy on victims' compensation rights,,,,
125,EU policy on Western Sahara,,,,
126,EU public communication strategy,,,,
127,EU regulation of short-term rentals,,,,
128,EU regulation on financial data access,,,,
129,EU regulation on plain packaging for tobacco products,,,,
130,EU relations with ASEAN,,,,
131,EU relations with Bosnia and Herzegovina,,,,
132,EU relations with Central African Republic,,,,
133,EU relations with Eastern Neighbourhood,,,,
134,EU relations with Gulf countries,,,,
135,EU relations with Kurdish people,,,,
136,EU relations with left-wing Latin America,,,,
137,EU relations with the Southern Neighbourhood,,,,
138,EU relations with United Arab Emirates,,,,
139,EU relations with Western Balkans,,,,
140,EU requirements on animal welfare for farmers,,,,
141,EU research funding,,,,
142,EU rules on digital competition,,,,
143,EU rules on hazardous working conditions,,,,
144,EU Single Market harmonisation,,,,
145,EU social policy  (political compass),,,,
146,EU stance on BRICS cooperation,,,,
147,EU strategy for tourism development,,,,
148,EU strategy on population growth,,,,
